id,name,address,city,country,descriptions,stars,typeRoom,rate,countryAbbr,mainMoney,money,price,equipment
37,Tropical Paradise,321 Palm Ave,Miami,USA,"A lush tropical hotel with gardens and private access to the beach.",5,"Resort",4.8,"US","USD","[""USD""]",500,"[""WiFi"",""Beach Access"",""Spa"",""Pool"",""Restaurant"",""Bar"",""Room Service"",""Laundry Service"",""Concierge"",""Pet Friendly""]"
38,Cultural Escape,123 Culture St,Rio de Janeiro,Brazil,"A vibrant hotel reflecting local culture and hospitality.",4,"Hôtel",4.5,"BR","BRL","[""BRL""]",220,"[""WiFi"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Outdoor Seating"",""24-hour Front Desk""]"
39,Honeymoon Suite,789 Love Lane,Venice,Italy,"A romantic suite perfect for couples seeking a getaway.",5,"Suite",4.9,"IT","EUR","[""EUR""]",600,"[""WiFi"",""Private Balcony"",""Spa"",""Room Service"",""Laundry Service"",""Free Breakfast"",""Air Conditioning""]"
40,City Loft,432 Urban St,Berlin,Germany,"A modern loft-style hotel in the bustling city center.",4,"Loft",4.5,"DE","EUR","[""EUR""]",200,"[""WiFi"",""Gym"",""Bar"",""Restaurant"",""24-hour Front Desk"",""Room Service"",""Laundry Service"",""Air Conditioning""]"
41,Family Adventure Hotel,654 Fun St,Orlando,USA,"A family-friendly hotel with attractions and activities for kids.",4,"Hôtel",4.6,"US","USD","[""USD""]",210,"[""WiFi"",""Water Park"",""Restaurant"",""Bar"",""Kids Club"",""Room Service"",""Laundry Service"",""Parking""]"
42,Hillside Villa,321 Hillside Rd,Cape Town,South Africa,"A beautiful villa overlooking the mountains and ocean.",5,"Villa",4.9,"ZA","ZAR","[""ZAR""]",500,"[""WiFi"",""Pool"",""Spa"",""BBQ Facilities"",""Restaurant"",""Room Service"",""Laundry Service"",""Concierge"",""Air Conditioning""]"
43,Ski Resort,789 Winter Rd,Mont-Tremblant,Canada,"A cozy ski resort with easy access to slopes and winter activities.",4,"Resort",4.6,"CA","CAD","[""CAD""]",250,"[""WiFi"",""Ski Rentals"",""Spa"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Outdoor Activities""]"
44,Beachfront Retreat,123 Coastal Rd,Bali,Indonesia,"A luxury beachfront retreat with villas and world-class amenities.",5,"Resort",4.9,"ID","IDR","[""IDR""]",400,"[""WiFi"",""Beach Access"",""Spa"",""Pool"",""Restaurant"",""Room Service"",""Laundry Service"",""Concierge"",""Air Conditioning""]"
45,Modern Comfort,987 Contemporary St,Seoul,South Korea,"A stylish hotel offering modern comforts and exceptional service.",4,"Hôtel",4.7,"KR","KRW","[""KRW""]",210,"[""WiFi"",""Bar"",""Restaurant"",""Gym"",""Room Service"",""Laundry Service"",""Air Conditioning""]"
46,Heritage Hotel,678 Heritage St,Delhi,India,"A luxurious hotel with traditional decor and modern amenities.",5,"Hôtel",4.8,"IN","INR","[""INR""]",350,"[""WiFi"",""Spa"",""Restaurant"",""Bar"",""Gym"",""24-hour Room Service"",""Laundry Service"",""Air Conditioning""]"
47,Lakeside Retreat,345 Lakeview St,Zurich,Switzerland,"A beautiful lakeside retreat with stunning views and luxurious amenities.",5,"Resort",4.9,"CH","CHF","[""CHF""]",550,"[""WiFi"",""Spa"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Concierge"",""Air Conditioning""]"
48,Tropical Escape,111 Palm Tree Rd,Phuket,Thailand,"A serene escape with private villas and lush surroundings.",5,"Resort",4.8,"TH","THB","[""THB""]",600,"[""WiFi"",""Beach Access"",""Spa"",""Pool"",""Restaurant"",""Room Service"",""Laundry Service"",""Free Breakfast"",""Air Conditioning""]"
49,Southern Comfort,567 Dixie Hwy,Atlanta,USA,"A cozy hotel offering Southern hospitality and modern amenities.",4,"Hôtel",4.5,"US","USD","[""USD""]",220,"[""WiFi"",""Restaurant"",""Bar"",""Gym"",""Room Service"",""Laundry Service"",""Parking""]"
50,Sunset Villa,432 Sunset Blvd,Lisbon,Portugal,"A luxurious villa with breathtaking sunset views and private amenities.",5,"Villa",4.9,"PT","EUR","[""EUR""]",700,"[""WiFi"",""Pool"",""Spa"",""Restaurant"",""Bar"",""Room Service"",""Laundry Service"",""Concierge"",""Air Conditioning""]"
