id,countries,countryAbbr,stars,title,description,duration,rating,reviews,price,image,cities
15,"Chine","CN",5,"Visite de la Grande Muraille de Chine","Excursion guidée sur la Grande Muraille de Chine","5 heures",4.8,1635,160.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/bruce-rottgers-x2uU3yoGDLs-unsplash.jpg?t=2024-09-24T09%3A27%3A38.666Z","Beijing"
16,"États-Unis","US",5,"Tour en hélicoptère à New York","Vue panoramique de New York depuis un hélicoptère","30 minutes",4.9,1450,300.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/ben-o-bro-wpU4veNGnHg-unsplash.jpg","New York"
17,"Espagne","ES",5,"Visite de la Sagrada Familia","Tour guidé de la basilique Sagrada Familia à Barcelone","2 heures",4.7,1293,70.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/sagrada-familia-552084_1280.jpg?t=2024-09-24T09%3A30%3A47.107Z","Barcelone"
18,"Turquie","TR",5,"Excursion à la Cappadoce","Vol en montgolfière et visite des formations rocheuses en Cappadoce","3 heures",4.8,1111,180.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/hot-air-balloon-64534_1280.jpg?t=2024-09-24T09%3A31%3A32.879Z","Göreme"
19,"Indonésie","ID",5,"Détente à Bali","Séjour relaxant dans un complexe balnéaire de Bali","3 jours",4.9,2002,500.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/bali-8838762_1280.jpg?t=2024-09-24T09%3A32%3A06.169Z","Bali"
20,"États-Unis","US",5,"Visite des chutes du Niagara","Excursion en bateau pour voir les chutes du Niagara de près","2 heures",4.8,1749,85.00,"https://zhqpheunskiuodymniyz.supabase.co/storage/v1/object/public/profiles/admin/waterfall-5050298_1280.jpg?t=2024-09-24T09%3A32%3A41.617Z","Niagara Falls"
21,"Cambodge","KH",5,"Visite des temples d'Angkor","Découverte des temples anciens d'Angkor au Cambodge","4 heures",4.9,1500,120.00,"https://unsplash.com/photos/_UIN-pFfJ7c","Siem Reap"
22,"Brésil","BR",5,"Exploration de la ville de Rio de Janeiro","Tour des principales attractions de Rio, y compris le Christ Rédempteur","3 heures",4.8,1800,90.00,"https://unsplash.com/photos/JFfDRwXMO0w","Rio de Janeiro"
23,"Brésil","BR",5,"Aventure en Amazonie","Séjour en forêt amazonienne avec guide local au Brésil","2 jours",4.9,1300,250.00,"https://unsplash.com/photos/wl4-pZ2RE8M","Manaus"
24,"Canada","CA",5,"Découverte de Vancouver","Visite des sites incontournables de Vancouver au Canada","3 heures",4.7,1400,85.00,"https://unsplash.com/photos/kFaTqstSmbM","Vancouver"
25,"Royaume-Uni","UK",4,"Tour des châteaux en Écosse","Visite guidée des châteaux historiques en Écosse","5 heures",4.6,1150,130.00,"https://unsplash.com/photos/6RPx9wXtc9A","Édimbourg"
26,"Islande","IS",5,"Excursion en Islande","Visite des geysers et des chutes d'eau en Islande","6 heures",4.8,950,160.00,"https://unsplash.com/photos/-IcxWN9Df7Y","Reykjavík"
27,"Botswana","BW",5,"Safari au Botswana","Observation des animaux sauvages dans les réserves naturelles du Botswana","3 jours",4.9,1700,300.00,"https://unsplash.com/photos/33Eq3txl7Wc","Maun"
28,"Australie","AU",5,"Visite de Sydney","Exploration des plages et des attractions culturelles de Sydney en Australie","4 heures",4.7,1250,100.00,"https://unsplash.com/photos/TOwGVG5Fb4c","Sydney"
29,"Japon","JP",5,"Exploration de Kyoto","Visite des temples et jardins traditionnels de Kyoto au Japon","4 heures",4.8,2000,110.00,"https://unsplash.com/photos/36q4iSdEBKA","Kyoto"
